str_code,autoclave_id,article,total_boxes,cheffe_emballage_matricule,recorded_at,source_file
STR-TDMPAU02,Autoclave 4,Thon Entier au Naturel,2108,5002,2025-12-30 11:44:40,production-day-2025-12-30.xlsx
STR-7BFTM48P,Autoclave 4,Thon Entier au Naturel,2811,5001,2025-12-30 14:43:47,production-day-2025-12-30.xlsx
STR-WVBAKYCS,Autoclave 3,Thon en Morceaux à l'Huile,1871,5001,2025-12-30 14:31:45,production-day-2025-12-30.xlsx
STR-U2CJ854W,Autoclave 5,Thon en Morceaux au Naturel,2536,5001,2025-12-30 13:17:13,production-day-2025-12-30.xlsx
